filename,region_shape_attributes,region_attributes
Plate 6.jpg,"{""name"":""rect"",""x"":464,""y"":8,""width"":280,""height"":213}","{""name"":""Chutney""}"
Plate 9.jpg,"{""name"":""rect"",""x"":582,""y"":234,""width"":207,""height"":213}","{""name"":""Chutney""}"
Plate 13.jpg,"{""name"":""rect"",""x"":233,""y"":200,""width"":218,""height"":217}","{""name"":""Pakora""}"
Plate 13.jpg,"{""name"":""rect"",""x"":36,""y"":107,""width"":153,""height"":115}","{""name"":""Chutney""}"
Plate 13.jpg,"{""name"":""rect"",""x"":87,""y"":274,""width"":121,""height"":100}","{""name"":""Chutney""}"
Plate 14.jpg,"{""name"":""rect"",""x"":84,""y"":108,""width"":139,""height"":321}","{""name"":""Salad""}"
Plate 14.jpg,"{""name"":""rect"",""x"":235,""y"":31,""width"":375,""height"":410}","{""name"":""Bhatura""}"
Plate 16.jpg,"{""name"":""rect"",""x"":111,""y"":50,""width"":401,""height"":387}","{""name"":""Biryani""}"
Plate 19.jpg,"{""name"":""rect"",""x"":499,""y"":35,""width"":203,""height"":144}","{""name"":""Salad""}"
Plate 21.jpg,"{""name"":""rect"",""x"":192,""y"":47,""width"":513,""height"":518}","{""name"":""Gajar Ka Halwa""}"
Plate 27.jpg,"{""name"":""rect"",""x"":14,""y"":8,""width"":211,""height"":197}","{""name"":""Poori""}"
Plate 28.jpg,"{""name"":""rect"",""x"":11,""y"":43,""width"":746,""height"":457}","{""name"":""Chapati""}"
Plate 29.jpg,"{""name"":""rect"",""x"":513,""y"":316,""width"":231,""height"":174}","{""name"":""Salad""}"
Plate 32.jpg,"{""name"":""rect"",""x"":19,""y"":72,""width"":212,""height"":207}","{""name"":""Chutney""}"
Plate 42.jpg,"{""name"":""rect"",""x"":34,""y"":72,""width"":368,""height"":398}","{""name"":""Biryani""}"
Plate 47.jpg,"{""name"":""rect"",""x"":4,""y"":97,""width"":272,""height"":355}","{""name"":""Soup""}"
Plate 49.jpg,"{""name"":""rect"",""x"":136,""y"":25,""width"":507,""height"":536}","{""name"":""Gajar Ka Halwa""}"
Plate 50.jpg,"{""name"":""rect"",""x"":138,""y"":14,""width"":443,""height"":420}","{""name"":""Gajar Ka Halwa""}"
Plate 57.jpg,"{""name"":""rect"",""x"":281,""y"":58,""width"":353,""height"":388}","{""name"":""Gulab Jamun""}"
Plate 58.jpg,"{""name"":""rect"",""x"":111,""y"":24,""width"":578,""height"":480}","{""name"":""Gulab Jamun""}"
Plate 61.jpg,"{""name"":""rect"",""x"":136,""y"":123,""width"":409,""height"":389}","{""name"":""Halwa""}"
