name,Bhindi Masala,Paneer Curry,Chutney,Bread,Poha,Soup,Aloo Beans,Lauki Masala,Egg Bhurji,Chicken Curry,Cake,Curd,Gobhi Sabji,Dum Aloo,Bhaji,Chilli Potato,Karela Sabji,Chapati,Tea,Achar,Besan Chilla,Sandwich,Bhatura,Upma,Aloo Sabji,Biryani,Halwa,Palak Paneer,Chaat,Idli,Mysore Pak,Raita,Vada,Omelette,Pakora,Gulab Jamun,Fried Rice,Noodles,Salad,Rice,Mysore Bonda,Poori,Malpua,Rasam,Phirni,Uttapam,Khichdi,Paratha,Apple,Dal,Pulao,Naan,Aloo Palak,Aloo Matar,Gajar Ka Halwa,Sauce,Kheer,Laddu,Palak Corn,Baigan Sabji,Juice,Lemon Rice,Papad
Bhindi Masala,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,2.5,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,1.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,3.75,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,3.75,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
Paneer Curry,0.179,0.179,0.179,0.714,0.179,0.179,0.179,0.179,0.179,0.179,0.357,1.071,0.179,0.179,0.179,0.357,0.179,1.786,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.714,0.179,0.179,1.786,0.179,0.179,0.179,0.179,0.714,0.714,5.714,2.857,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,3.214,0.714,0.179,0.179,0.357,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.357
Chutney,0.037,0.037,0.037,0.149,0.149,0.037,0.037,0.075,0.821,0.037,0.037,0.299,0.037,0.037,0.037,0.037,0.037,0.224,0.149,0.037,0.224,0.149,0.037,0.373,0.149,0.149,0.037,0.037,0.149,0.299,0.037,0.149,0.896,0.149,0.149,0.037,0.037,0.037,0.672,0.037,0.075,0.149,0.037,0.037,0.037,0.224,0.224,0.224,0.037,0.149,0.075,0.037,0.037,0.037,0.037,0.149,0.037,0.037,0.037,0.037,0.037,0.037,0.037
Bread,0.25,1,1,0.25,0.25,0.25,0.25,0.25,1.5,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,1,0.25,0.25,0.25,0.25,0.25,1,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,2,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Poha,0.357,0.357,1.429,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,1.429,0.357,0.357,0.357,0.357,0.357,1.429,0.357,0.357,0.714,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.714,0.357,0.357,0.357,0.714,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.714,0.357,0.357,0.357,0.714,0.357,0.357,0.357,0.714,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357
Soup,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
Aloo Beans,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,3.75,0.625,1.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,2.5,1.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
Lauki Masala,2.5,2.5,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Egg Bhurji,0.156,0.156,5.312,0.938,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.312,0.156,0.156,0.156,0.156,0.156,0.625,0.156,0.625,0.156,0.156,0.156,0.625,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.312,0.156,0.312,0.625,0.156,0.156,0.156,0.312,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156
Chicken Curry,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.208,0.104,0.104,0.104,0.104,1.25,0.104,0.208,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.208,0.104,0.104,0.208,0.104,0.104,0.104,0.208,0.208,0.104,2.292,1.042,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.208,0.104,0.208,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,1.458
